id,stat,country,filter,weight,var1,var2,by,p
mean_happy_y1_japan,mean,9,y1,w_c1,HAPPY_Y1,,,
mean_lifesat_y1_japan,mean,9,y1,w_c1,LIFE_SAT_Y1,,,
mean_sfi_y1_japan,mean,9,y1,w_c1,sfi_Y1,,,
mean_happy_y1_brazil,mean,3,y1,w_c1,HAPPY_Y1,,,
mean_lifesat_y1_brazil,mean,3,y1,w_c1,LIFE_SAT_Y1,,,
mean_sfi_y1_brazil,mean,3,y1,w_c1,sfi_Y1,,,
mean_happy_y1_israel,mean,8,y1,w_c1,HAPPY_Y1,,,
mean_sfi_y1_israel,mean,8,y1,w_c1,sfi_Y1,,,
mean_happy_y1_egypt,mean,4,y1,w_c1,HAPPY_Y1,,,
mean_lifesat_y1_egypt,mean,4,y1,w_c1,LIFE_SAT_Y1,,,
mean_sfi_y1_kenya,mean,10,y1,w_c1,sfi_Y1,,,
mean_lifesat_y1_us,mean,22,y1,w_c1,LIFE_SAT_Y1,,,
mean_sfi_y1_us,mean,22,y1,w_c1,sfi_Y1,,,
domain_happy_by_age_brazil,mean,3,y1,w_c1,HAPPY_Y1,,age_band,
domain_happy_by_gender_egypt,mean,4,y1,w_c1,HAPPY_Y1,,gender,
prop_attend_y1_india,proportion,6,y1,w_c1,ATTEND_SVCS_Y1,,,
prop_believe_y1_nigeria,proportion,12,y1,w_c1,BELIEVE_GOD_Y1,,,
prop_food_my_kenya,proportion,10,my,w_l1m,FOOD_INSECURE_MY,,,
mean_mental_y2_hongkong,mean,24,y2,w_c2,MENTAL_HEALTH_Y2,,,
mean_money_my_kenya,mean,10,my,w_l1m,MONEY_MY,,,
mean_goodrel_my_kenya,mean,10,my,w_l1m,GOOD_RELATION_MY,,,
change_happy_y1y2_hongkong,change,24,y1_y2,w_l2,HAPPY_Y1,HAPPY_Y2,,
change_sfi_y1y2_hongkong,change,24,y1_y2,w_l2,sfi_Y1,sfi_Y2,,
change_happy_y1y2_us,change,22,y1_y2,w_l2,HAPPY_Y1,HAPPY_Y2,,
change_sfi_y1y2_us,change,22,y1_y2,w_l2,sfi_Y1,sfi_Y2,,
change_goodrel_satrel_myy2_kenya,change,10,my_y2,w_l1m2,GOOD_RELATION_MY,SAT_RELATNSHP_Y2,,
change_goodrel_satrel_myy2_uk,change,20,my_y2,w_l1m2,GOOD_RELATION_MY,SAT_RELATNSHP_Y2,,
median_wbtoday_y1_india,quantile,6,y1,w_c1,WB_TODAY_Y1,,,0.5
corr_happy_lifesat_y1_poland,correlation,14,y1,w_c1,HAPPY_Y1,LIFE_SAT_Y1,,
transition_attend_y1y2_philippines,transition,13,y1_y2,w_l2,ATTEND_SVCS_Y1,ATTEND_SVCS_Y2,,
